group,subgroup,month,services
M1 Management of Bulk Billed services,1 No subgroup,Feb-04,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-04,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-04,0
M1 Management of Bulk Billed services,1 No subgroup,May-04,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-04,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-04,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-04,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-04,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-04,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-04,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-04,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-05,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-05,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-05,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-05,0
M1 Management of Bulk Billed services,1 No subgroup,May-05,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-05,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-05,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-05,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-05,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-05,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-05,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-05,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-06,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-06,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-06,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-06,0
M1 Management of Bulk Billed services,1 No subgroup,May-06,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-06,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-06,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-06,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-06,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-06,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-06,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-06,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-07,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-07,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-07,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-07,0
M1 Management of Bulk Billed services,1 No subgroup,May-07,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-07,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-07,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-07,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-07,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-07,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-07,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-07,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-08,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-08,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-08,0
M1 Management of Bulk Billed services,1 No subgroup,Apr-08,0
M1 Management of Bulk Billed services,1 No subgroup,May-08,0
M1 Management of Bulk Billed services,1 No subgroup,Jun-08,0
M1 Management of Bulk Billed services,1 No subgroup,Jul-08,0
M1 Management of Bulk Billed services,1 No subgroup,Aug-08,0
M1 Management of Bulk Billed services,1 No subgroup,Sep-08,0
M1 Management of Bulk Billed services,1 No subgroup,Oct-08,0
M1 Management of Bulk Billed services,1 No subgroup,Nov-08,0
M1 Management of Bulk Billed services,1 No subgroup,Dec-08,0
M1 Management of Bulk Billed services,1 No subgroup,Jan-09,0
M1 Management of Bulk Billed services,1 No subgroup,Feb-09,0
M1 Management of Bulk Billed services,1 No subgroup,Mar-09,0
